https://github.com/ajithkvp/CSC510-SEFall23-ProjectGroup56,,59
Item,Assessment,Evidence
Video,2,"Video is not very elaborative, but it does give a concise overview of the project."
"Workload is spread over the whole team (one team member is often Xtimes more productive than the others...but nevertheless, here is a track record that everyone is contributing a lot)",2,"Commits are kind of evenly contributed, except for a few teammates."
Number of commits,2,Over 250+ by 15 people
Number of commits: by different people,2,Commits count are significantly high (and even) by 10 people; but less count of commits by the rest of the contributors.
Issues reports: there are many,3,40 issues have been raised
Issues are being closed,2,"23 issues are closed, and 17 are open"
DOI badge: exists,3,Badges exist and are functional
"Docs: doco generated, format not ugly",3,Documentation is legible with excellent formatting; easy navigation and step-by-step instructions.
Docs: what: point descriptions of each class/function (in isolation),3,"Individual descriptions are decent, and the partitioning and sections of the documentation are also clear."
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",3,All scenarios of the project are explained well with mini-tutorials (screen recordings) of working examples.
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",3,"The project idea, the documentation's clarity, visual appeal and the future scope of this idea - all of these makes me want to use this project."
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",2,The video about the repo hosted on the documentation describes in breif as to how the project works and what makes the project unique.
Use of version control tools,3,
Use of style checkers,2,"Usage of PyLint, and should abide by google style guide"
Use of code formatters.,0,
Use of syntax checkers.,0,
Use of code coverage,2,76% code coverage
Other automated analysis tools,2,
Test cases exist,3,Have a good deal of testcases.
Test cases are routinely executed,2,"Yes, executed"
The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,Descriptive information in the contributing file.
Issues are discussed before they are closed,2,"Issues aren't discussed with other people, instead just being closed after giving an explanation."
Chat channel: exists,0,no such chat channel
Test cases: a large proportion of the issues related to handling failing cases,2,Not much testcases seem to be covered.
Evidence that the whole team is using the same tools: everyone can get to all tools and files,2,
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",1,not much info to be seen regarding this
"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",2,
Evidence that the members of the team are working across multiple places in the code base,2,different contributors have updated the different code bases.
Short release cycles,1,Not frequent release
,,
"Does your website and documentation provide a clear, high-level overview of your software?",Y,Provides a clear overview of the project's functionality
Does your website and documentation clearly describe the type of user who should use your software?,Y,Software tech stack used is mentioned clearly
Do you publish case studies to show how your software has been used by yourself and others?,N,
Is the name of your project/software unique?,Y,"The name is unique, and clearly describes the project by the title"
Is your project/software name free from trademark violations?,Y,
Is your software available as a package that can be deployed without building it?,N,
Is your software available for free?,Y,
"Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",Y,
"Is your software hosted in an established, third-party repository likeGitHub (https://github.com)",Y,https://github.com/chandur626/TeachersPetBot
Is your documentation clearly available on your website or within your software?,Y,
"Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",N,"A quick start is not provided, but the documentation does provide an overview of basic examples that users can use."
"If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",Y,Explained clearly in README.md
"Do you provide a comprehensive guide to all your software’s commands, functions and options?",Y,
Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,N,troubleshooting/error solutions has not been documented
"If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",N,
Do you store your documentation under revision control with your source code?,N,
"Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",N,
Does your software describe how a user can get help with using your software?,Y,
"Does your website and documentation describe what support, if any, you provide to users and developers?",Y,
Does your project have an e-mail address or forum that is solely for supporting users?,N,
Are e-mails to your support e-mail address received by more than one person?,N,
Does your project have a ticketing system to manage bug reports and feature requests?,Y,
"Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",Y,Issues can be tracked here
Is your software’s architecture and design modular?,Y,
Does your software use an accepted coding standard or convention?,Y,
"Does your software allow data to be imported and exported using open data formats? e.g. GIF, SVG, HTML, XML, tar, zip, CSV, JSON, NetCDF, or domain specific ones",Y,
"Does your software allow communications using open communications protocols? e.g. HTTP, FTP, XMPP, SOAP over HTTP,  or domain-specific ones",Y,HTTP to HTTP connections do work
"Is your software cross-platform compatible? e.g. does it run under two or more of Windows, Unix/Linux and Mac OS X, or can be used from within two or more of Internet Explorer, Chrome, Firefox and Safari?",Y,
Does your software adhere to appropriate accessibility conventions or standards?,Y,
Does your documentation adhere to appropriate accessibility conventions or standards?,Y,
Is your source code stored in a repository under revision control?,Y,
Is each source code release a snapshot of the repository?,Y,
Are releases tagged in the repository?,Y,
"Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)",Y,Main branch 
Do you back-up your repository?,N,
Do you provide publicly-available instructions for building your software from the source code?,Y,
"Can you build, or package, your software using an automated tool?",N,
Do you provide publicly-available instructions for deploying your software?,Y,
Does your documentation list all third-party dependencies?,Y,
Does your documentation list the version number for all third-party dependencies?,N,Mentions only tools and not the versions
"Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",N,
Can you download dependencies using a dependency management tool or package manager?,N,
Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,N,No support to check build success.
Do you have an automated test suite for your software?,N,
Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,N,Found no such infrastructure
"Do you use continuous integration, automatically running tests whenever changes are made to your source code?",N,
Are your test results publicly visible,N,
Are all manually-run tests documented?,N,
"Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software?",N,"There's just a google drive link, which has the project demo video, and a youtube link which has a project's brief overview"
Does your website state how many projects and users are associated with your project?,N,Users association is not mentioned
Do you provide success stories on your website?,N,
Do you list your important partners and collaborators on your website?,Y,Collaborators and contributors are listed at the end of the README.md 
Do you list your project's publications on your website or link to a resource where these are available?,N,
Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,N,
Can users subscribe to notifications to changes to your source code repository?,Y,
Not executed,N,"The project has been executed, and the screenshots/screenrecordings of the workflow has been added"
"Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",Y,Outside people can also contribute to the project
Do you have a contributions policy?,Y,Listed out here 
Is your contributions' policy publicly available?,Y,Yes - here - https://github.com/Ashwinshankar98/TeachersPetBot/blob/main/CONTRIBUTING.md#code-of-conduct 
Do contributors keep the copyright/IP of their contributions?,N,
Does your website and documentation clearly state the copyright owners of your software and documentation?,N,
Does each of your source code files include a copyright statement?,N,
Does your website and documentation clearly state the licence of your software?,Y,MIT Licensed 
Is your software released under an open source licence?,Y,
Is your software released under an OSI-approved open-source licence?,Y,
Does each of your source code files include a licence header?,N,
Do you have a recommended citation for your software?,N,
"Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",Y,There are two separate iterations listed out on README.md file and also future scope is descibed.
"Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",N,
"Do you make timely announcements of the deprecation of components, APIs, etc.?",N,